window_id,window_start,window_end,people_count_mean,people_count_std,people_count_min,people_count_max,avg_speed_mean,avg_speed_std,avg_speed_min,avg_speed_max,max_speed_mean,max_speed_std,max_speed_min,max_speed_max,speed_std_mean,speed_std_std,speed_std_min,speed_std_max,avg_displacement_mean,avg_displacement_std,avg_displacement_min,avg_displacement_max,max_displacement_mean,max_displacement_std,max_displacement_min,max_displacement_max,avg_velocity_x_mean,avg_velocity_x_std,avg_velocity_x_min,avg_velocity_x_max,avg_velocity_y_mean,avg_velocity_y_std,avg_velocity_y_min,avg_velocity_y_max,avg_acceleration_mean,avg_acceleration_std,avg_acceleration_min,avg_acceleration_max,max_acceleration_mean,max_acceleration_std,max_acceleration_min,max_acceleration_max,acceleration_std_mean,acceleration_std_std,acceleration_std_min,acceleration_std_max,avg_speed_change_mean,avg_speed_change_std,avg_speed_change_min,avg_speed_change_max,max_speed_change_mean,max_speed_change_std,max_speed_change_min,max_speed_change_max,avg_velocity_change_mean,avg_velocity_change_std,avg_velocity_change_min,avg_velocity_change_max,max_velocity_change_mean,max_velocity_change_std,max_velocity_change_min,max_velocity_change_max,avg_displacement_change_mean,avg_displacement_change_std,avg_displacement_change_min,avg_displacement_change_max,direction_alignment_mean,direction_alignment_std,direction_alignment_min,direction_alignment_max,directional_disorder_mean,directional_disorder_std,directional_disorder_min,directional_disorder_max,avg_width_mean,avg_width_std,avg_width_min,avg_width_max,avg_height_mean,avg_height_std,avg_height_min,avg_height_max,avg_density_mean,avg_density_std,avg_density_min,avg_density_max,speed_deviation,acceleration_deviation,displacement_deviation,speed_change_deviation,velocity_change_deviation,speed_trend,acceleration_trend,abnormal_behavior_score
0,0,5,14.711409395973154,0.8161817995465962,12,17,19.707405745080685,5.280292200111101,0.0,46.678666666666665,58.7303355704698,34.5141541747751,0.0,330.0,16.98647596918355,8.433848484938048,0.0,84.41070167101685,0.6782677660377522,0.2092102759744272,0.0,1.5566666666666669,2.2008724832214765,1.8869043477117184,0.0,15.3,-3.278784761839687,3.904223673819072,-13.928571428571429,7.5,-1.3299651062025222,5.306130525799996,-25.714285714285715,15.0,406.530855849624,102.51202707360883,0.0,627.6890756302474,1156.3853497469763,385.5575013485289,0.0,2317.878787878793,358.8270216997081,99.34156505796015,0.0,681.4721439079274,13.608316062293412,3.440136475613507,0.0,21.34142857142857,38.6055033557047,12.945955407011354,0.0,76.49,21.579444636516403,4.56354660569603,0.0,35.29207803554964,53.23890515866867,16.565385933870704,0.0,106.06601717798212,0.4890417610912577,0.1889488020030614,0.0,1.437857142857143,0.4183445190156599,0.4656429608521449,0.0,1.0,0.058165548098434,0.1643146820919926,0.0,0.6666666666666667,15.860806095799187,0.5558802772265858,14.642857142857142,17.0,41.93703502051311,0.9283164639220642,39.8125,44.0,0.0001915525503355,1.0626687030096674e-05,0.00015625,0.00022135,-0.07655615105940204,-0.17245702817371578,-0.10742538729984306,-0.17640049639977848,-0.2618110143456162,,,0.0
1,5,10,15.926666666666666,0.8200234623150748,14,17,16.26725329598506,3.1722253276990697,6.75,24.408,47.13806666666667,16.762989141616977,21.21,106.07,14.269442283023306,3.7818680698922216,4.938610272999018,26.720222999497164,0.5653004014939309,0.149321774650394,0.2252941176470588,1.3329411764705883,1.8896666666666664,1.5825403995889316,0.71,14.5,-4.130037453314659,3.122971207075207,-14.0,4.0,1.1387299603174603,3.941808406564663,-11.0,13.125,371.3595598803597,86.95383335851771,154.15966386554712,622.6203208556249,1054.5216280451575,314.4641499294853,441.1764705882263,2495.588235294066,329.1599969935262,72.8438687600508,193.27973033174868,616.0811698026904,12.430960380485528,2.8755014418471903,5.241428571428571,20.54647058823529,35.191266666666664,10.521788725407053,15.0,84.85,20.92021099702469,3.944904859946938,11.531777887261658,36.08815685321522,54.92419371251634,19.59530860072632,30.0,135.0,0.4530667110177404,0.1572094288774824,0.1757142857142857,1.22125,0.3033333333333333,0.4557487631612865,0.0,1.0,0.01,0.0702345065195183,0.0,0.5,15.205167833800187,0.4840768972348214,14.0625,16.352941176470587,41.08285527544351,0.8011785975911866,39.4,43.05882352941177,0.0002073752,1.067670547934229e-05,0.00018229,0.00022135,-0.332029433836987,-0.4660799218664705,-0.34205060008050325,-0.4639395181645873,-0.35100522968135595,-3.440152449095624,-35.17129596926429,0.0
2,10,15,14.986666666666666,0.8272755208949654,13,17,18.2778868877038,4.378176634525292,9.236,36.11333333333334,62.94766666666666,36.9755717730211,30.0,248.29,17.8952075536112,8.521001860457586,8.67048095551798,62.626781658906765,0.6200275685915392,0.1601545446587619,0.308,1.3914285714285717,2.1842666666666664,1.4357554645255537,1.0,11.24,1.3224968837535014,3.468534853379102,-9.0,9.375,1.955102787653523,5.75125326008258,-13.928571428571429,23.0,380.6331921738873,87.2500417531039,181.6323842969992,643.2196969697072,1081.674569221627,358.37144310413544,441.1764705882263,2420.3030303029386,336.6938056861325,84.8209689934411,152.5889455716232,650.5644524582145,12.760814681903064,2.8733025087458004,6.542307692307692,21.22625,36.3248,11.809097262181009,15.0,79.87,20.95334861257045,3.837965547514072,12.242640687119286,32.30787683989028,54.03825658781794,20.527904766679995,21.213203435596427,120.93386622447824,0.44095151885696,0.1341585675977266,0.2176923076923076,1.2507692307692306,0.3938888888888889,0.4681202062153099,0.0,1.0,0.0461111111111111,0.1519009139078342,0.0,0.75,15.665250736191911,0.6471742763168968,14.333333333333334,17.153846153846153,43.54135398261869,1.5068529432817024,40.4375,46.4,0.0001951364,1.0771127282052452e-05,0.00016927,0.00022135,-0.18271536367875638,-0.38866023419139295,-0.228386151263711,-0.3833810390065539,-0.34652171512803226,2.01063359171874,9.273632293527612,0.0
3,15,20,10.060402684563758,5.001659438031223,1,17,60.28931285567527,30.917174945354567,12.478666666666667,130.565,120.41704697986576,67.0039841040467,30.0,286.57,31.254147995039716,20.84539880906157,0.0,83.44101449527085,2.2187625954779526,1.38116793135854,0.416,9.16,5.701476510067114,8.05737377372504,1.0,82.37,15.85237645036895,21.437560910429827,-21.5625,80.0,7.621589438657144,14.069286820074268,-30.0,70.0,756.349259675017,457.6625491089394,0.0,2464.70588235302,1979.94853818336,1408.4440690499855,0.0,6833.33333333381,640.1640368020602,526.0174135416871,0.0,2784.7528823788743,25.679645641764477,15.366093562156829,0.0,83.8,66.87664429530201,47.08500192450593,0.0,225.5,41.34515136630784,19.514093306094694,0.0,96.08296433387808,93.94825195168896,58.8252381847025,0.0,261.9637379485947,1.2151047038181364,1.2758176381304742,0.0,8.667272727272728,0.435905015938573,0.3288012665171682,0.0,1.0,0.3359070645983398,0.2917837735864957,0.0,0.8,19.623243772172906,2.5872028684162145,15.1875,26.0,42.33856362525925,4.663354897123456,29.0,60.0,0.0001309941610738,6.512521355570801e-05,1.302e-05,0.00022135,2.937145475345014,2.7479554606908816,3.092073234310541,2.771713104540139,2.412486225217898,42.01142596797147,375.7160675011297,2.792274700020895
4,20,25,13.25,4.128940317823468,1,17,22.47828851560421,13.21301836650678,0.0,96.05,62.08007352941176,36.5291599703949,0.0,241.87,16.270221016226575,10.143516850573038,0.0,58.8646711447058,0.7640239410243735,0.4404422360097682,0.0,3.2,2.1827205882352945,1.3685079557877862,0.0,8.25,6.008862025211668,14.656373967037398,-6.071428571428571,90.0,2.255467868510526,10.643482587588082,-12.5,60.0,425.2947433602919,225.60210201368943,0.0,1624.8484848485982,1101.1671647268558,527.2896757235333,0.0,4499.117647058966,315.3269817231491,159.02773190282363,0.0,1193.6594491826083,14.272148408072608,7.493669295891263,0.0,53.62,37.262867647058826,18.626924992565176,0.0,152.97,22.772881561152797,7.836034271072858,0.0,60.0,55.695179060171824,26.162937413792644,0.0,195.57607215607945,0.4862882264253912,0.250216422126325,0.0,1.7900000000000005,0.4105392156862745,0.4691767100805559,0.0,1.0,0.0453431372549019,0.1412275864655744,0.0,0.5,15.595023753279593,1.1239911751555665,9.0,19.0,40.74601549330139,7.74819591979767,7.0,46.5,0.0001725240441176,5.37616599222721e-05,1.302e-05,0.00022135,0.12921569424460175,-0.01580920511304944,0.07068411259635556,-0.014276419308574338,-0.10033917239332207,-37.81102434007106,-331.05451631472516,0.039979961368191465
5,25,30,14.006666666666666,1.3974889593477589,10,17,21.599677724024342,4.788549147838205,12.987142857142857,35.670833333333334,65.2978,27.25549172837843,30.0,165.68,19.10905363492555,6.934557387923228,8.644769516881292,49.95055104801147,0.8066547342526754,0.4099055812012012,0.4671428571428571,4.8875,3.059,4.137617209759338,1.0,46.29,3.956212837440338,4.598292894109052,-5.0,15.9375,-1.4816683713345478,5.375845734694768,-17.307692307692307,8.571428571428571,438.1159487869543,111.99645523614323,151.49510932884357,786.6666666666368,1257.381877599526,475.907507004068,441.1764705882032,2993.63636363625,384.9551404189714,119.2896819410154,171.8502188078725,746.2563956044802,14.879708057220556,3.6454174524862175,6.22090909090909,25.96,42.7362,15.41430537829396,15.0,98.79,24.686473865776733,5.025135434206777,11.65685424949238,40.4003028340781,62.64436035925291,25.62021461973215,21.213203435596427,182.4828759089466,0.5917457528582528,0.2638993211857519,0.215,1.5599999999999998,0.5172222222222221,0.4461385265664695,0.0,1.0,0.1094444444444444,0.2139645362415879,0.0,0.75,16.155581185154716,0.7951689561864099,14.8125,18.25,43.08074330734625,1.568331874172151,40.15384615384615,47.5,0.0001823768,1.819530625070785e-05,0.00013021,0.00022135,0.06396812555975191,0.09122692575047335,0.15922524987604017,0.13410449045313508,0.15856958750406688,-0.8786107915798667,12.821205426662402,0.12141887582869348
6,30,35,15.606666666666667,0.7317962332981438,14,17,16.94365156862745,4.21522421578512,8.276875,32.00533333333333,51.88893333333333,26.06755279886665,21.21,197.29,15.13587600536623,5.968166336766662,7.081184525608289,46.14111984381368,0.5926645121381886,0.2024971992407166,0.275625,1.7586666666666668,2.0480666666666667,1.8320592794938209,0.71,14.64,2.862417962184874,3.4181032995893688,-6.5625,9.642857142857142,-0.8936403431372548,4.301256181178611,-14.117647058823527,12.0,377.2206524688139,97.1449488110532,124.5882352941216,735.7439446367016,1150.1608242211405,490.7570320792398,441.1764705882493,5178.823529411929,348.58500546581007,111.05148451565891,191.97273734398829,1223.105311811244,12.64478039431157,3.2998904854089264,4.236,25.01529411764706,38.54186666666666,16.641608094835743,15.0,176.07999999999998,20.951481995067763,4.295835493281909,10.650281539872884,34.00724957032347,56.24722403133443,24.518000279117096,30.0,180.6239186818844,0.4617425554837319,0.2040821787000564,0.1413333333333333,1.3393333333333333,0.3124444444444444,0.4475227474614016,0.0,1.0,0.0342222222222222,0.1314717168409526,0.0,0.8,15.450330065359475,0.4166455780954625,14.5,16.1875,42.30867343604108,1.051711381740901,39.94117647058823,44.13333333333333,0.0002032088,9.527986957541835e-06,0.00018229,0.00022135,-0.2817986112981585,-0.4171493687379479,-0.2852172809321931,-0.41171944689872275,-0.34677426820407464,-4.656026155396894,-60.89529631814037,0.0
7,35,40,15.24,0.8409007634434246,13,17,16.94882805627379,4.899941384274499,7.171875,38.85785714285714,52.9048,32.02794437831863,21.21,300.37,15.48043764973499,7.492307862214759,7.298107191007033,77.50092983844888,0.6019064323421677,0.2225477084847921,0.239375,1.778,2.2372,2.331889840491596,0.71,18.34,-0.4157217618329383,3.320755620039732,-10.0,7.0,-0.5573361364289305,4.580640268361576,-18.214285714285715,11.25,373.1785380167386,77.55023521448946,182.94372294371604,587.4545454546496,1087.565953654189,349.44298037921834,545.2941176470761,3209.9999999998786,337.11923834103646,86.09913205476036,194.63096970447063,823.4752743768471,12.493502126876392,2.615791425376335,6.037142857142858,19.386000000000003,36.2434,11.657742124856956,18.54,105.93,20.62788924705911,3.988199467943581,11.698789373080382,33.78419601781127,51.9873594982058,21.149383645745896,21.213203435596427,135.83077707206124,0.4742713522588522,0.2067198325423811,0.2014285714285714,1.565,0.3555555555555555,0.4680973063825566,0.0,1.0,0.0244444444444444,0.1115724947105618,0.0,0.6666666666666667,14.763531117575235,0.4594042950156737,13.5,16.214285714285715,41.71810775335775,1.663657758093445,37.266666666666666,46.35714285714285,0.0001984348,1.0948527940033378e-05,0.00016927,0.00022135,-0.28141419394694017,-0.4508944244530636,-0.2660224674290479,-0.4486652957230923,-0.39055631984394773,0.005176487646341599,-4.042114452075282,0.0
8,40,45,13.4,2.1890514632426608,7,17,32.66177199578744,17.625740385366186,10.65,93.59375,83.69853333333334,41.87351849145932,33.54,210.0,24.26233659259886,11.696343532796478,8.52000541711637,55.71023824625547,1.2000094464522406,0.7132299141858718,0.3553333333333333,4.8420000000000005,3.765466666666667,3.811341356415488,1.12,33.74,4.3231306224657695,11.679164280179524,-13.75,56.25,2.8246771084416675,7.829778371119892,-14.0,26.785714285714285,526.2634503683988,175.5356682964492,212.1717171717092,1242.813852813806,1659.1561497326218,722.5431646869458,510.6060606060413,4229.117647058958,506.2687275842814,203.7373574675979,204.0712525207888,1141.7498896662785,17.922348115473852,6.13402959470903,7.001666666666668,41.012857142857136,55.59766666666666,24.229211872073645,16.85,143.79,29.72541413109273,8.577972918448808,16.252553610048018,69.37378058883782,79.72589438053991,32.05670989907338,33.54101966249684,195.57607215607945,0.7609419421319421,0.5441641787963514,0.2341666666666666,4.447777777777778,0.5107619047619048,0.3827714757502694,0.0,1.0,0.2359047619047619,0.276434816594097,0.0,0.75,15.706451800378272,1.9194488738569715,13.352941176470589,22.375,38.477724424812656,2.6649346309188515,29.8,42.63636363636363,0.000174478,2.8501450051419472e-05,9.115e-05,0.00022135,0.8854635621196572,0.8271146368188528,0.9761951191899134,0.8771915281690094,0.8403374709437805,15.71294393951365,153.0849123516602,0.8812604634482426
9,45,50,6.443609022556391,4.904255316520028,1,15,37.36470560454583,22.911438505826187,0.0,92.57666666666668,63.12857142857143,34.302123667423835,0.0,154.43,19.76176841581169,15.737227892727,0.0,66.73410996884078,1.2979319277214014,0.8456595283072744,0.0,4.734999999999999,2.2331578947368422,1.441382106311694,0.0,11.1,16.961119087679236,19.786139660729614,-37.5,75.0,19.03114977128135,19.579196223541423,-11.25,85.0,530.9415034736376,383.1450366782134,0.0,2190.303030302948,1070.3578172644045,666.3711662191904,0.0,2993.63636363625,424.2612242858581,312.4839317081287,0.0,1316.504261699995,17.867827637275006,12.696614230270855,0.0,72.28,35.86330827067669,22.00851693686582,0.0,98.79,27.89589981115032,16.550309036199003,0.0,96.18821799567657,51.86403530961871,30.06514611066564,0.0,214.76731594914529,0.6811450454307597,0.5470823857779846,0.0,2.885,0.431704260651629,0.4475704365952163,0.0,1.0,0.0870927318295739,0.1823044653960487,0.0,0.6666666666666667,17.566138247717195,2.717885899644336,10.0,24.5,39.83014573146152,10.12116842768194,9.0,59.5,8.389977443609023e-05,6.385796875436599e-05,1.302e-05,0.00019531,1.2347137495729472,0.8661687419280001,1.1795731752910166,0.8638762953895885,0.5928044501189017,4.702933608758393,4.678053105238746,0.9474272824600908
